domain,price,currency,date,source,venue,tld,position,keyword
unternehmensbewertung.ch,3669,USD,2026-06-14,dnjournal,,ch,,
trippify.com,3658,USD,2026-06-14,dnjournal,,com,,
ionicorder.com,3650,USD,2026-06-14,dnjournal,,com,,
verdira.com,3614,USD,2026-06-14,dnjournal,,com,,
vantridge.com,3504,USD,2026-06-14,dnjournal,,com,,
leadingmatters.com,3500,USD,2026-06-14,dnjournal,,com,,
anviora.com,3499,USD,2026-06-14,dnjournal,,com,,
growthian.com,3499,USD,2026-06-14,dnjournal,,com,,
sigvi.com,3499,USD,2026-06-14,dnjournal,,com,,
voyaly.com,3499,USD,2026-06-14,dnjournal,,com,,
donami.com,3450,USD,2026-06-14,dnjournal,,com,,
ruedesevres.com,3450,USD,2026-06-14,dnjournal,,com,,
tmat.cn,3450,USD,2026-06-14,dnjournal,,cn,,
byte.si,3450,USD,2026-06-14,dnjournal,,si,,
skin1004.cn,3450,USD,2026-06-14,dnjournal,,cn,,
zmat.de,3450,USD,2026-06-14,dnjournal,,de,,
safegpt.eu,3449,USD,2026-06-14,dnjournal,,eu,,
security.si,3449,USD,2026-06-14,dnjournal,,si,,
worldseek.com,3378,USD,2026-06-14,dnjournal,,com,,
luckytiger.co.uk,3325,USD,2026-06-14,dnjournal,,uk,,
alphaangle.com,3311,USD,2026-06-14,dnjournal,,com,,
rareon.com,3299,USD,2026-06-14,dnjournal,,com,,
mercadinho.pt,3282,USD,2026-06-14,dnjournal,,pt,,
dyno.io,3278,USD,2026-06-14,dnjournal,,io,,
house.si,3220,USD,2026-06-14,dnjournal,,si,,
agenticexposure.com,3119,USD,2026-06-14,dnjournal,,com,,
propaan.com,3116,USD,2026-06-14,dnjournal,,com,,
burkinshaw.com,3000,USD,2026-06-14,dnjournal,,com,,
mavsbasketball.com,3000,USD,2026-06-14,dnjournal,,com,,
eyeball.group,3000,USD,2026-06-14,dnjournal,Sedo,group,,
fara.day,2999,USD,2026-06-14,dnjournal,Sedo,day,,
grapps.com,2995,USD,2026-06-14,dnjournal,,com,,
lucky.live,2988,USD,2026-06-14,dnjournal,Sedo,live,,
clone.fr,2875,USD,2026-06-14,dnjournal,,fr,,
happy.cl,2875,USD,2026-06-14,dnjournal,,cl,,
priventa.de,2842,USD,2026-06-14,dnjournal,,de,,
recruit.be,2818,USD,2026-06-14,dnjournal,,be,,
vintage.ae,2760,USD,2026-06-14,dnjournal,,ae,,
military.lv,2668,USD,2026-06-14,dnjournal,,lv,,
ivy.one,2500,USD,2026-06-14,dnjournal,Sedo,one,,
kanzleiwebseite.de,2461,USD,2026-06-14,dnjournal,,de,,
bonus.rs,2300,USD,2026-06-14,dnjournal,,rs,,
mb.cl,2300,USD,2026-06-14,dnjournal,,cl,,
pulsa.eu,2300,USD,2026-06-14,dnjournal,,eu,,
mallorca-guide.de,2207,USD,2026-06-14,dnjournal,,de,,
traded.net,2199,USD,2026-06-14,dnjournal,,net,,
vematec.nl,2064,USD,2026-06-14,dnjournal,,nl,,
waldfreunde.de,2048,USD,2026-06-14,dnjournal,,de,,
esdc.eu,2013,USD,2026-06-14,dnjournal,,eu,,
bowstring.net,1980,USD,2026-06-14,dnjournal,,net,,
vidar.ch,1898,USD,2026-06-14,dnjournal,,ch,,
psychodynamik.de,1889,USD,2026-06-14,dnjournal,,de,,
china.ie,1868,USD,2026-06-14,dnjournal,,ie,,
maas.be,1801,USD,2026-06-14,dnjournal,,be,,
lyv.be,1725,USD,2026-06-14,dnjournal,,be,,
alhena.fr,1724,USD,2026-06-14,dnjournal,,fr,,
sini.co.uk,1506,USD,2026-06-14,dnjournal,,uk,,
windt.nl,1438,USD,2026-06-14,dnjournal,,nl,,
groenopdak.nl,1409,USD,2026-06-14,dnjournal,,nl,,
pyra.uk,1330,USD,2026-06-14,dnjournal,,uk,,
klussen.be,1323,USD,2026-06-14,dnjournal,,be,,
maatschap.nl,1323,USD,2026-06-14,dnjournal,,nl,,
bodywise.ch,1150,USD,2026-06-14,dnjournal,,ch,,
liebenswert.at,1150,USD,2026-06-14,dnjournal,,at,,
pflegepunkt.de,1150,USD,2026-06-14,dnjournal,,de,,
triton.it,1150,USD,2026-06-14,dnjournal,,it,,
afix.be,1144,USD,2026-06-14,dnjournal,,be,,
naama.fr,1144,USD,2026-06-14,dnjournal,,fr,,
maenhout.be,1121,USD,2026-06-14,dnjournal,,be,,
onigiri.nl,1093,USD,2026-06-14,dnjournal,,nl,,
fruits.co,20,USD,2026-06-14,dnjournal,Sedo,co,,
osiro.com,29000,USD,2026-06-11,dnjournal,Sedo,com,,
doggy.it,17400,USD,2026-06-11,dnjournal,Sedo,it,,
iw7.com,17400,USD,2026-06-11,dnjournal,Sedo,com,,
scoretv.com,16240,USD,2026-06-11,dnjournal,Sedo,com,,
htf.nl,8700,USD,2026-06-11,dnjournal,,nl,,
stickerapp.eu,98699,USD,2026-06-11,dnjournal,Sedo,eu,,
keez.it,8236,USD,2026-06-11,dnjournal,Sedo,it,,
tlg.co.uk,8120,USD,2026-06-11,dnjournal,,uk,,
democracy.com,2610,USD,2026-06-14,retailstats_synthetic,,com,exact,democracy
compensate.com,3154,USD,2026-06-14,retailstats_synthetic,,com,exact,compensate
southeastdata.com,2706,USD,2026-06-14,retailstats_synthetic,,com,start,southeast
eventtop.ai,5759,USD,2026-06-14,retailstats_synthetic,,ai,start,event
relaxationfast.store,1157,USD,2026-06-14,retailstats_synthetic,,store,start,relaxation
brushless.com,1670,USD,2026-06-14,retailstats_synthetic,,com,exact,brushless
domainmeta.io,4311,USD,2026-06-14,retailstats_synthetic,,io,start,domain
sexreal.tech,5455,USD,2026-06-14,retailstats_synthetic,,tech,start,sex
levant.co.uk,2793,USD,2026-06-14,retailstats_synthetic,,co.uk,exact,levant
gemaapp.io,2071,USD,2026-06-14,retailstats_synthetic,,io,start,gema
uniquedigital.com,1774,USD,2026-06-14,retailstats_synthetic,,com,start,unique
getvent.club,1231,USD,2026-06-14,retailstats_synthetic,,club,end,vent
groupbox.co,3063,USD,2026-06-14,retailstats_synthetic,,co,end,box
missmy.net,4136,USD,2026-06-14,retailstats_synthetic,,net,start,miss
fundamental365.com,1328,USD,2026-06-14,retailstats_synthetic,,com,start,fundamental
appetiz.com,1668,USD,2026-06-14,retailstats_synthetic,,com,exact,appetiz
hy.ai,70830,USD,2026-06-14,retailstats_synthetic,,ai,exact,hy
theeasy.com,1478,USD,2026-06-14,retailstats_synthetic,,com,start,the
nebenjob.com,7442,USD,2026-06-14,retailstats_synthetic,,com,exact,nebenjob
accommodationgroup.dev,1634,USD,2026-06-14,retailstats_synthetic,,dev,start,accommodation
techcoastinc.com,416,USD,2026-06-14,retailstats_synthetic,,com,middle,coast
proratings.com,1943,USD,2026-06-14,retailstats_synthetic,,com,end,ratings
health24.com,15895,USD,2026-06-14,retailstats_synthetic,,com,start,health
lgio.com,278,USD,2026-06-14,retailstats_synthetic,,com,exact,lgio
realco.com,3980,USD,2026-06-14,retailstats_synthetic,,com,start,real
nexastore.com,1066,USD,2026-06-14,retailstats_synthetic,,com,start,nexa
flowinc.xyz,902,USD,2026-06-14,retailstats_synthetic,,xyz,start,flow
onlinehub.ai,1039,USD,2026-06-14,retailstats_synthetic,,ai,start,online
culturefast.com,612,USD,2026-06-14,retailstats_synthetic,,com,start,culture
digitalkredit.club,1428,USD,2026-06-14,retailstats_synthetic,,club,end,kredit
planetonline.ai,2826,USD,2026-06-14,retailstats_synthetic,,ai,start,planet
aihoney.com,1150,USD,2026-06-14,retailstats_synthetic,,com,end,honey
breakthroughneo.com,986,USD,2026-06-14,retailstats_synthetic,,com,start,breakthrough
globalone.net,4950,USD,2026-06-14,retailstats_synthetic,,net,end,one
usalawyer.io,1081,USD,2026-06-14,retailstats_synthetic,,io,end,lawyer
mytop.net,1268,USD,2026-06-14,retailstats_synthetic,,net,start,my
kwinana.me,1544,USD,2026-06-14,retailstats_synthetic,,me,exact,kwinana
greenexperten.tech,533,USD,2026-06-14,retailstats_synthetic,,tech,end,experten
koepfe.me,5992,USD,2026-06-14,retailstats_synthetic,,me,exact,koepfe
adweb3.io,1734,USD,2026-06-14,retailstats_synthetic,,io,start,ad
misters.com,930,USD,2026-06-14,retailstats_synthetic,,com,exact,misters
myouch.com,1331,USD,2026-06-14,retailstats_synthetic,,com,end,ouch
askweb.com,3268,USD,2026-06-14,retailstats_synthetic,,com,start,ask
plusservice.tv,3406,USD,2026-06-14,retailstats_synthetic,,tv,end,service
clippingshop.com,3325,USD,2026-06-14,retailstats_synthetic,,com,start,clipping
einfachanders.co.uk,5811,USD,2026-06-14,retailstats_synthetic,,co.uk,exact,einfachanders
affh.com,456,USD,2026-06-14,retailstats_synthetic,,com,exact,affh
400.com,1902,USD,2026-06-14,retailstats_synthetic,,com,exact,400
ryoj.org,145,USD,2026-06-14,retailstats_synthetic,,org,exact,ryoj
sfera.shop,2967,USD,2026-06-14,retailstats_synthetic,,shop,exact,sfera
oriai.org,674,USD,2026-06-14,retailstats_synthetic,,org,start,ori
storelaura.ai,882,USD,2026-06-14,retailstats_synthetic,,ai,end,laura
datecrypto.app,4677,USD,2026-06-14,retailstats_synthetic,,app,start,date
studentstore.net,277,USD,2026-06-14,retailstats_synthetic,,net,start,student
elbur.com,1734,USD,2026-06-14,retailstats_synthetic,,com,exact,elbur
hsapp.com,2431,USD,2026-06-14,retailstats_synthetic,,com,start,hs
ecodorado.com,1186,USD,2026-06-14,retailstats_synthetic,,com,end,dorado
storeglance.com,682,USD,2026-06-14,retailstats_synthetic,,com,end,glance
maxdrugs.com,737,USD,2026-06-14,retailstats_synthetic,,com,end,drugs
groupgard.com,1222,USD,2026-06-14,retailstats_synthetic,,com,end,gard
macnew.xyz,1675,USD,2026-06-14,retailstats_synthetic,,xyz,start,mac
vbjk.online,169,USD,2026-06-14,retailstats_synthetic,,online,exact,vbjk
buytrans.net,3541,USD,2026-06-14,retailstats_synthetic,,net,end,trans
techtechnology.ai,1470,USD,2026-06-14,retailstats_synthetic,,ai,end,technology
dusmedia.com,1671,USD,2026-06-14,retailstats_synthetic,,com,start,dus
englishonline.com,1043,USD,2026-06-14,retailstats_synthetic,,com,start,english
vrabroad.app,2505,USD,2026-06-14,retailstats_synthetic,,app,end,abroad
holidaydefi.tv,1117,USD,2026-06-14,retailstats_synthetic,,tv,start,holiday
groupgroups.com,1419,USD,2026-06-14,retailstats_synthetic,,com,end,groups
getblinks.de,2111,USD,2026-06-14,retailstats_synthetic,,de,end,blinks
shopyou.dev,810,USD,2026-06-14,retailstats_synthetic,,dev,end,you
vrready.com,2824,USD,2026-06-14,retailstats_synthetic,,com,end,ready
smartfacts.com,1594,USD,2026-06-14,retailstats_synthetic,,com,end,facts
it.com,200000,USD,2026-06-14,retailstats_synthetic,,com,exact,it
stepco.online,6132,USD,2026-06-14,retailstats_synthetic,,online,start,step
nftcount.com,696,USD,2026-06-14,retailstats_synthetic,,com,end,count
justifiedfast.biz,447,USD,2026-06-14,retailstats_synthetic,,biz,start,justified
arunderwear.com,2118,USD,2026-06-14,retailstats_synthetic,,com,end,underwear
mediaalloys.com,992,USD,2026-06-14,retailstats_synthetic,,com,end,alloys
tophow.co.uk,1804,USD,2026-06-14,retailstats_synthetic,,co.uk,end,how
claimtech.com,3890,USD,2026-06-14,retailstats_synthetic,,com,start,claim
costacrypto.com,1465,USD,2026-06-14,retailstats_synthetic,,com,start,costa
leadogo.com,2158,USD,2026-06-14,retailstats_synthetic,,com,exact,leadogo
iotraffic.com,343,USD,2026-06-14,retailstats_synthetic,,com,end,traffic
baudouin.com,1989,USD,2026-06-14,retailstats_synthetic,,com,exact,baudouin
citibest.co,1306,USD,2026-06-14,retailstats_synthetic,,co,start,citi
ramsmart.net,1063,USD,2026-06-14,retailstats_synthetic,,net,start,ram
diversenew.com,1421,USD,2026-06-14,retailstats_synthetic,,com,start,diverse
okgo.com,3652,USD,2026-06-14,retailstats_synthetic,,com,exact,okgo
defiyearbook.store,1179,USD,2026-06-14,retailstats_synthetic,,store,end,yearbook
onlineonline.com,1830,USD,2026-06-14,retailstats_synthetic,,com,end,online
5900.dev,1230,USD,2026-06-14,retailstats_synthetic,,dev,exact,5900
safenet.us,1959,USD,2026-06-14,retailstats_synthetic,,us,start,safe
bestblue.online,3192,USD,2026-06-14,retailstats_synthetic,,online,end,blue
inccode.com,1321,USD,2026-06-14,retailstats_synthetic,,com,end,code
sam.site,2420,USD,2026-06-14,retailstats_synthetic,,site,exact,sam
plusworks.com,1557,USD,2026-06-14,retailstats_synthetic,,com,end,works
corock.io,1403,USD,2026-06-14,retailstats_synthetic,,io,end,rock
storeshaker.co,1263,USD,2026-06-14,retailstats_synthetic,,co,end,shaker
buyfhrer.com,1382,USD,2026-06-14,retailstats_synthetic,,com,end,fhrer
usahumanism.com,865,USD,2026-06-14,retailstats_synthetic,,com,end,humanism
nowit.com,10280,USD,2026-06-14,retailstats_synthetic,,com,end,it
cloudhome.co.uk,2179,USD,2026-06-14,retailstats_synthetic,,co.uk,end,home
ioschool.org,7058,USD,2026-06-14,retailstats_synthetic,,org,end,school
seaplus.com,3302,USD,2026-06-14,retailstats_synthetic,,com,start,sea
proximal.com,4058,USD,2026-06-14,retailstats_synthetic,,com,exact,proximal
ecourlaub.tech,2495,USD,2026-06-14,retailstats_synthetic,,tech,end,urlaub
incfiber.com,2876,USD,2026-06-14,retailstats_synthetic,,com,end,fiber
jiefang.io,31492,USD,2026-06-14,retailstats_synthetic,,io,exact,jiefang
defiechnew.com,395,USD,2026-06-14,retailstats_synthetic,,com,middle,ech
double24.com,1139,USD,2026-06-14,retailstats_synthetic,,com,start,double
automotors.com,2064,USD,2026-06-14,retailstats_synthetic,,com,end,motors
blockkitchen.com,1442,USD,2026-06-14,retailstats_synthetic,,com,end,kitchen
holidayio.club,3326,USD,2026-06-14,retailstats_synthetic,,club,start,holiday
globaldrive.com,1770,USD,2026-06-14,retailstats_synthetic,,com,end,drive
nanochain.com,2111,USD,2026-06-14,retailstats_synthetic,,com,start,nano
riace.shop,2909,USD,2026-06-14,retailstats_synthetic,,shop,exact,riace
gostore.com,1335,USD,2026-06-14,retailstats_synthetic,,com,end,store
metaweek.com,1570,USD,2026-06-14,retailstats_synthetic,,com,end,week
amazonreal.site,7798,USD,2026-06-14,retailstats_synthetic,,site,start,amazon
group365.org,1566,USD,2026-06-14,retailstats_synthetic,,org,start,group
theagricole.io,2355,USD,2026-06-14,retailstats_synthetic,,io,end,agricole
buycontractor.co,598,USD,2026-06-14,retailstats_synthetic,,co,end,contractor
augenhq.net,1384,USD,2026-06-14,retailstats_synthetic,,net,start,augen
mycyber.info,3315,USD,2026-06-14,retailstats_synthetic,,info,start,my
vaneer.shop,21863,USD,2026-06-14,retailstats_synthetic,,shop,exact,vaneer
zophya.com,100,USD,2026-06-14,retailstats_synthetic,,com,exact,zophya
tiempo.de,44440,USD,2026-06-14,retailstats_synthetic,,de,exact,tiempo
cameoai.biz,2984,USD,2026-06-14,retailstats_synthetic,,biz,start,cameo
realbuns.com,918,USD,2026-06-14,retailstats_synthetic,,com,end,buns
kalifornientop.com,6046,USD,2026-06-14,retailstats_synthetic,,com,start,kalifornien
bestdollar.ai,4957,USD,2026-06-14,retailstats_synthetic,,ai,end,dollar
easysale.me,8046,USD,2026-06-14,retailstats_synthetic,,me,end,sale
chainvision.com,291,USD,2026-06-14,retailstats_synthetic,,com,end,vision
promohq.ai,11744,USD,2026-06-14,retailstats_synthetic,,ai,start,promo
saigak.com,3571,USD,2026-06-14,retailstats_synthetic,,com,exact,saigak
sewingeasy.co.uk,797,USD,2026-06-14,retailstats_synthetic,,co.uk,start,sewing
boome.xyz,2197,USD,2026-06-14,retailstats_synthetic,,xyz,exact,boome
flazio.com,141,USD,2026-06-14,retailstats_synthetic,,com,exact,flazio
cannock.com,3456,USD,2026-06-14,retailstats_synthetic,,com,exact,cannock
droneplus.com,7300,USD,2026-06-14,retailstats_synthetic,,com,start,drone
malawisee.io,3256,USD,2026-06-14,retailstats_synthetic,,io,exact,malawisee
greenwaresmart.com,192,USD,2026-06-14,retailstats_synthetic,,com,middle,ware
novum.com,2268,USD,2026-06-14,retailstats_synthetic,,com,exact,novum
blockinsurance.tech,15392,USD,2026-06-14,retailstats_synthetic,,tech,end,insurance
blackworld.dev,12251,USD,2026-06-14,retailstats_synthetic,,dev,start,black
mediacoach.tech,970,USD,2026-06-14,retailstats_synthetic,,tech,end,coach
globalshop.com,798,USD,2026-06-14,retailstats_synthetic,,com,end,shop
traveldata.com,898,USD,2026-06-14,retailstats_synthetic,,com,start,travel
techworld.dev,1450,USD,2026-06-14,retailstats_synthetic,,dev,end,world
zentivo.com,2241,USD,2026-06-14,retailstats_synthetic,,com,exact,zentivo
solardata.org,2162,USD,2026-06-14,retailstats_synthetic,,org,start,solar
basictop.org,2481,USD,2026-06-14,retailstats_synthetic,,org,start,basic
atmmachines.dev,1192,USD,2026-06-14,retailstats_synthetic,,dev,exact,atmmachines
budapester.ai,4965,USD,2026-06-14,retailstats_synthetic,,ai,exact,budapester
bestpanas.com,1248,USD,2026-06-14,retailstats_synthetic,,com,end,panas
childrensmart.com,635,USD,2026-06-14,retailstats_synthetic,,com,start,children
aitoday.com,2431,USD,2026-06-14,retailstats_synthetic,,com,end,today
vrmarketing.com,1219,USD,2026-06-14,retailstats_synthetic,,com,end,marketing
cybervirus.org,7818,USD,2026-06-14,retailstats_synthetic,,org,end,virus
coastlinemeta.com,1078,USD,2026-06-14,retailstats_synthetic,,com,start,coastline
soc.ai,2458,USD,2026-06-14,retailstats_synthetic,,ai,exact,soc
opencloud.com,4885,USD,2026-06-14,retailstats_synthetic,,com,start,open
mur.com,9893,USD,2026-06-14,retailstats_synthetic,,com,exact,mur
sexysmart.com,1126,USD,2026-06-14,retailstats_synthetic,,com,start,sexy
maxlock.com,10338,USD,2026-06-14,retailstats_synthetic,,com,end,lock
getget.com,1102,USD,2026-06-14,retailstats_synthetic,,com,start,get
elts.com,2448,USD,2026-06-14,retailstats_synthetic,,com,exact,elts
thetorch.com,7230,USD,2026-06-14,retailstats_synthetic,,com,end,torch
restaurantgroup.com,3662,USD,2026-06-14,retailstats_synthetic,,com,start,restaurant
mibuy.com,559,USD,2026-06-14,retailstats_synthetic,,com,start,mi
rednft.com,2578,USD,2026-06-14,retailstats_synthetic,,com,start,red
pricevr.com,2067,USD,2026-06-14,retailstats_synthetic,,com,start,price
incteacher.ai,18264,USD,2026-06-14,retailstats_synthetic,,ai,end,teacher
urauto.store,3862,USD,2026-06-14,retailstats_synthetic,,store,exact,urauto
smartaward.net,890,USD,2026-06-14,retailstats_synthetic,,net,end,award
sol24.com,2276,USD,2026-06-14,retailstats_synthetic,,com,end,24
pastured.com,4200,USD,2026-06-14,retailstats_synthetic,,com,exact,pastured
incrom.site,1485,USD,2026-06-14,retailstats_synthetic,,site,end,rom
firstinc.com,2006,USD,2026-06-14,retailstats_synthetic,,com,start,first
hatred.ai,169036,USD,2026-06-14,retailstats_synthetic,,ai,exact,hatred
trackfast.net,808,USD,2026-06-14,retailstats_synthetic,,net,start,track
exodos.com,8459,USD,2026-06-14,retailstats_synthetic,,com,exact,exodos
sandyx.com,1674,USD,2026-06-14,retailstats_synthetic,,com,exact,sandyx
ecoes.co.uk,1156,USD,2026-06-14,retailstats_synthetic,,co.uk,end,es
omne.ai,1505,USD,2026-06-14,retailstats_synthetic,,ai,exact,omne
techspaces.ai,1044,USD,2026-06-14,retailstats_synthetic,,ai,end,spaces
deficenter.com,6298,USD,2026-06-14,retailstats_synthetic,,com,end,center
wilsoncrypto.com,849,USD,2026-06-14,retailstats_synthetic,,com,start,wilson
cognac.net,25286,USD,2026-06-14,retailstats_synthetic,,net,exact,cognac
feelgood.online,3600,USD,2026-06-14,retailstats_synthetic,,online,exact,feelgood
sweetnft.shop,781,USD,2026-06-14,retailstats_synthetic,,shop,start,sweet
topfornano.com,340,USD,2026-06-14,retailstats_synthetic,,com,middle,for
estimatedhq.com,2338,USD,2026-06-14,retailstats_synthetic,,com,start,estimated
orderhq.com,4291,USD,2026-06-14,retailstats_synthetic,,com,start,order
metais.de,16034,USD,2026-06-14,retailstats_synthetic,,de,end,is
appjewelers.com,1974,USD,2026-06-14,retailstats_synthetic,,com,end,jewelers
dausa.com,921,USD,2026-06-14,retailstats_synthetic,,com,start,da
scotland.de,2290,USD,2026-06-14,retailstats_synthetic,,de,exact,scotland
mybilling.com,4707,USD,2026-06-14,retailstats_synthetic,,com,end,billing
sew.store,4009,USD,2026-06-14,retailstats_synthetic,,store,exact,sew
venturesphere.com,2756,USD,2026-06-14,retailstats_synthetic,,com,exact,venturesphere
dr.co,5725,USD,2026-06-14,retailstats_synthetic,,co,exact,dr
rajweb.com,452,USD,2026-06-14,retailstats_synthetic,,com,start,raj
crimeanet.tech,2257,USD,2026-06-14,retailstats_synthetic,,tech,start,crimea
ajaxweb.com,371,USD,2026-06-14,retailstats_synthetic,,com,start,ajax
scantgreen.com,652,USD,2026-06-14,retailstats_synthetic,,com,start,scant
10966.com,996,USD,2026-06-14,retailstats_synthetic,,com,exact,10966
cuckio.store,1288,USD,2026-06-14,retailstats_synthetic,,store,start,cuck
personalgroup.com,12107,USD,2026-06-14,retailstats_synthetic,,com,start,personal
soundusa.io,1271,USD,2026-06-14,retailstats_synthetic,,io,start,sound
madsmart.io,1504,USD,2026-06-14,retailstats_synthetic,,io,start,mad
skydive.io,1978,USD,2026-06-14,retailstats_synthetic,,io,exact,skydive
space.app,8462,USD,2026-06-14,retailstats_synthetic,,app,exact,space
cloudrealty.com,1381,USD,2026-06-14,retailstats_synthetic,,com,end,realty
newglobal.com,3223,USD,2026-06-14,retailstats_synthetic,,com,start,new
deletedigital.com,1634,USD,2026-06-14,retailstats_synthetic,,com,start,delete
emag.com,1633,USD,2026-06-14,retailstats_synthetic,,com,exact,emag
ecomorales.tech,868,USD,2026-06-14,retailstats_synthetic,,tech,end,morales
